time,bus,id,length,bitcount,mode,bytes,b1,b2,b3,b4,b5,b6,b7,b8
0.201573,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.201821,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.202059,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.202923,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.203147,1,23,216000,112,Rx,7,02,22,01,F0,00,00,3F,
0.207149,1,2C1,230000,119,Rx,8,08,FC,FF,01,7E,A7,00,F4
0.207387,1,2C4,230000,119,Rx,8,05,40,00,15,00,80,11,B9
0.207597,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.207850,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.208058,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.213410,1,20,148000,78,Rx,3,00,00,07,,,,,
0.213678,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.213982,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.214332,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.214996,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.215221,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.219513,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.219739,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.224546,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.225458,1,20,148000,78,Rx,3,00,00,07,,,,,
0.225705,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.225953,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.226191,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.227051,1,22,236000,122,Rx,8,01,FA,01,FC,00,00,00,22
0.227271,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.230709,1,2D0,230000,119,Rx,8,0A,11,09,00,10,00,00,0E
0.230945,1,2C4,228000,118,Rx,8,05,42,00,15,00,80,11,BB
0.231549,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.231802,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.232010,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.237516,1,20,148000,78,Rx,3,00,00,07,,,,,
0.237784,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.238022,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.238894,1,2C1,226000,117,Rx,8,08,FC,FF,01,78,A7,00,EE
0.239140,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.239363,1,23,214000,111,Rx,7,02,23,01,F1,00,00,41,
0.243612,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.243765,1,320,144000,76,Rx,3,00,20,46,,,,,
0.243973,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.246059,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.249571,1,20,148000,78,Rx,3,00,00,07,,,,,
0.249817,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.250055,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.250303,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.251177,1,22,238000,123,Rx,8,01,FA,01,FD,00,00,00,23
0.251397,1,23,212000,110,Rx,7,02,1F,01,EF,00,00,3B,
0.254243,1,2C4,230000,119,Rx,8,05,3E,00,15,00,80,11,B7
0.255677,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.255929,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.256138,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.256324,1,591,178000,93,Rx,5,26,00,00,00,00,,,
0.261662,1,20,148000,78,Rx,3,00,00,07,,,,,
0.261930,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.262168,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.262434,1,2D0,230000,119,Rx,8,0A,11,09,00,10,00,00,0E
0.263258,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.263483,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.267747,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.267973,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.270631,1,2C1,234000,121,Rx,8,08,FD,00,01,77,A8,00,F0
0.272659,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.273719,1,20,148000,78,Rx,3,00,00,07,,,,,
0.273965,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.274203,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.274451,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.274692,1,420,232000,120,Rx,8,FF,FD,FF,FD,00,F9,80,9D
0.275312,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.275534,1,23,214000,111,Rx,7,02,21,01,F1,00,00,3F,
0.277808,1,2C4,232000,120,Rx,8,05,3F,00,15,00,80,11,B8
0.278052,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.279822,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.280074,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.280282,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.280533,1,3B2,242000,125,Rx,8,00,00,00,00,00,00,00,00
0.285806,1,20,148000,78,Rx,3,00,00,07,,,,,
0.286075,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.286313,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.287399,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.287619,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.291891,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.292043,1,320,144000,76,Rx,3,00,20,46,,,,,
0.292251,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.294193,1,2D0,238000,123,Rx,8,0A,0F,09,00,10,00,00,0C
0.297855,1,20,148000,78,Rx,3,00,00,07,,,,,
0.298101,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
